title,url,price,location,year,mileage
"BMW X1 xDrive20d - M SPORT, GARANCIJA, SHADOW LINE",https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-m-sport-garancija-shadow-line-oglas-50940970,42.900 €,Njemačka,2025,35.300 km
"BMW X1 xDrive20d - M SPORT, HEADUP, ADAPT LED, GARANCIJA",https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-m-sport-headup-adapt-led-garancija-oglas-50940858,42.900 €,Njemačka,2025,46.400 km
BMW X1 20d** M SPORT** ADAPLED** TOP STANJE**,https://www.njuskalo.hr/auti/bmw-x1-20d-m-sport-adapled-top-stanje-oglas-47114234,42.990 €,"Varaždin - Okolica, Jalkovec",2024,51.800 km
BMW X1 xDrive20d LEASING BEZ UČEŠĆA I BEZ JAMACA,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-leasing-bez-ucesca-bez-jamaca-oglas-51021891,42.999 €,"Sesvete, Sesvete",2024,34.184 km
BMW X1 xDrive20d xLine tvorničko jamstvo garažiran,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-oglas-50859751,42.999 €,"Maksimir, Gornji Bukovac",2023,38.000 km
BMW X1 xDrive20d M-Sport,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-m-sport-oglas-50627462,43.030 €,Njemačka,2024,35.000 km
BMW X1 xD23d M Sport,https://www.njuskalo.hr/auti/bmw-x1-xd23d-m-sport-oglas-50860347,43.200 €,Njemačka,2024,55.516 km
BMW X1 xDrive20d M Sport | LED | NAVIGACIJA | STRAŽNJA KAMERA,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-m-sport-led-navigacija-straznja-kamera-oglas-50284707,43.390 €,Njemačka,2025,48.800 km
BMW X1 xDrive23i M Paket ⭐AKCIJA - 2G. JAMSTVA + REGISTRACIJA⭐,https://www.njuskalo.hr/auti/bmw-x1-xdrive23i-oglas-50284721,43.490 €,"Zadar, Crno",2024,83.517 km
BMW X1 xDrive20d Sport,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-sport-oglas-49848354,43.730 €,Njemačka,2024,21.100 km
BMW X1 xDrive23d,https://www.njuskalo.hr/auti/bmw-x1-xdrive23d-oglas-49737974,43.999 €,"Rijeka, Trsat",2023,44.000 km
BMW X1 20d xDrive xLine,https://www.njuskalo.hr/auti/bmw-x1-20d-xdrive-xline-oglas-49822351,44.095 €,Njemačka,2024,22.100 km
BMW X1 23d xDrive M Sport,https://www.njuskalo.hr/auti/bmw-x1-23d-xdrive-m-sport-oglas-50860394,44.150 €,Njemačka,2024,52.000 km
BMW X1 20 d xDrive xLine,https://www.njuskalo.hr/auti/bmw-x1-20-d-xdrive-xline-oglas-48662677,44.249 €,Njemačka,2023,24.600 km
BMW X1 xDrive 2.3d 4x4 X-Line Full oprema - Jamstvo 1G,https://www.njuskalo.hr/auti/bmw-x1-xdrive-2.3d-4x4-x-line-full-oprema-jamstvo-1g-oglas-50163010,44.700 €,"Trešnjevka - Sjever, Rudeš",2023,41.000 km
BMW X1 X-DRIVE20D 2024 M-SPORT SERVISNA JAMSTVO REGISTRIRAN U DOLASKU,https://www.njuskalo.hr/auti/bmw-x1-x-drive20d-2024-m-sport-servisna-jamstvo-registriran-dolasku-oglas-51054915,44.900 €,"Pula, Vidikovac",2024,29.900 km
BMW X1 xDrive20d/M-sportpaket/7/2025.,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-m-sportpaket-7-2025-oglas-51083367,44.950 €,"Gornji Grad - Medveščak, Centar",2025,40.000 km
BMW X1 sDrive18d Automatik X-Line * Nije uvoz * Samo 1.850 km *,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-x-line-nije-uvoz-samo-1.850-km-oglas-50896988,45.900 €,"Trnje, Trnje",2025,1.850 km
BMW X1 sDrive18i Aut.XLine LED Kožna sj.Keyless€46200 do reg!,https://www.njuskalo.hr/auti/bmw-x1-sdrive18i-aut-xline-led-kozna-sj-keyless-46200-reg-oglas-50867793,46.200 €,Njemačka,2025,9.000 km
BMW X1 sDrive18i M-Sport*5/2025 g.*16000km*Garancija 7 godina*,https://www.njuskalo.hr/auti/bmw-x1-sdrive18i-m-sport-5-2025-g-14000km-garancija-4-godine-oglas-50284208,46.900 €,"Sesvete, Sopnica",2025,16.000 km
BMW X1 xDrive23d M-SPORT PAKET,https://www.njuskalo.hr/auti/bmw-x1-xdrive23d-m-sport-paket-oglas-49429783,47.900 €,"Maksimir, Ravnice",2023,50.000 km
BMW X1 xDrive23i**M-SPORT 35 TKM LED NAVI KAMERA 360 PDV-U,https://www.njuskalo.hr/auti/bmw-x1-xdrive23i-m-sport-19-tkm-led-navi-kamera-panorama-top-stanje-oglas-44034676,47.999 €,"Osijek, Retfala",2023,35.000 km
BMW X1 20d xDrive M,https://www.njuskalo.hr/auti/bmw-x1-20d-xdrive-m-oglas-49798527,48.000 €,,2024,26.045 km
BMW X1 xDrive 2.3d Mpaket 2024,https://www.njuskalo.hr/auti/bmw-x1-xdrive-2.3d-mpaket-oglas-50085952,49.000 €,"Velika Gorica - Okolica, Staro Čiće",2024,42.000 km
BMW X1 xDrive23d M-sport,https://www.njuskalo.hr/auti/bmw-x1-xdrive23d-m-sport-oglas-49937583,49.990 €,"Slavonski Brod, Brodski Varoš",2024,12.300 km
"BMW X1 xDrive20d - M SPORT, PANORAMA, HARMAN, ACC",https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-m-sport-panorama-harman-acc-oglas-50761205,50.900 €,Njemačka Objavljen: 08.06.2026.,2025,27.500 km
"BMW X1 25e xDrive Steptronic M Sport 245 KS, LED+TEM+GR SJED+KAM+VIRT+",https://www.njuskalo.hr/auti/bmw-x1-25e-xdrive-steptronic-m-sport-245-ks-led-tem-gr-sjed-kam-virt-oglas-49893293,52.200 €,Njemačka Objavljen: 05.05.2026.,2024,20.900 km
BMW X1 xDrive23d *LED*H/K*HEAD-UP*PANORAMA*360° KAMERA* M SPORT*,https://www.njuskalo.hr/auti/bmw-x1-xdrive23d-led-h-k-head-up-panorama-360-kamera-m-sport-oglas-50830015,53.700 €,"Donji Grad, Donji grad Objavljen: 16.07.2026.",2024,34.100 km
