title,url,price,location,year,mileage
"Hyundai Tucson 1,6T 4WD Hibridni 132 kW",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-4wd-hibridni-132-kw-oglas-51041110,26.000 €,"Rijeka, Marčeljeva Draga",2021,64.470 km
"Hyundai Tucson 1,7 CRDi GDT0 ISG DCT,AUTOMATIK,KOŽA,KAMERA,NAVI,ALU 19",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-gdt0-isg-dct-automatik-koza-kamera-navi-alu-19-oglas-48056069,16.150 €,"Sesvete, Kobiljak",2017,145.000 km
"Hyundai Tucson 1,7 CRDi,servisiran,nije uvoz,reg.3/27,odličan,sačuvan",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-servisiran-nije-uvoz-reg-3-27-odlican-sacuvan-oglas-50803512,12.850 €,"Trnovec Bartolovečki, Trnovec",2017,239.000 km
"Hyundai Tucson 1,6 CRDi...MOGUĆNOST GARANCIJE DO 2 GOD.",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-dolazak-vozila-22.01.2025-oglas-49402553,17.300 €,"Viškovo, Kosi",2021,136.100 km
"Hyundai Tucson 1,6 CRDi N-line , automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-50959810,25.900 €,"Novi Zagreb - Istok, Veliko Polje",2021,80.150 km
"Hyundai Tucson 1,6 CRDi 48 V mild Hybrid Premium paket opreme",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50873968,22.900 €,"Osijek, Gornji grad / Centar",2021,105.000 km
"Hyundai Tucson 1.6 CRDi AUTOMATIK,KAMERA,RADAR,BLIND SPOT,NAVI,U PDV-U",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-136-dct-7-navi-led-kamera-pdv-oglas-49188067,20.990 €,"Podsljeme, Štefanovec",2022,134.000 km
Hyundai Tucson 1.7 CRDi SERVISIRAN ISPRAVAN,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-servisiran-ispravan-oglas-49443161,12.500 €,"Novi Zagreb - Zapad, Hrvatski Leskovac",2016,265.000 km
"Hyundai Tucson 1,6T 18 cola solarglass automatska klima 1.lak 1.vl. HR",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-oglas-48884207,26.000 €,"Novi Zagreb - Zapad, Hrvatski Leskovac",2023,44.000 km
HYUNDAI*TUCSON*2.0 GLS-PLIN*NIJE UVOZ*SERVISNA KNJ*REG.9/26**4490 E,https://www.njuskalo.hr/auti/hyundai-tucson-2.0-gls-plin-nije-uvoz-servisna-knj-reg-9-26-4990-e-oglas-48477468,4.490 €,"Gornja Dubrava, Studentski grad",2005,213.382 km
